Name of Incident,Year,Country,Type of Event,Impact,Affected Population,Important Person/Group Responsible,Outcome
Independence from Britain,1963,Kenya,Independence,"End of British colonial rule, Jomo Kenyatta became president.",Kenyans,Jomo Kenyatta,Positive
Independence from France,1960,Cameroon,Independence,Gained independence from French administration.,Cameroonians,Ahmadou Ahidjo,Positive
Independence from Ethiopia,1993,Eritrea,Independence,"Achieved de facto independence after a 30Unknownyear war, followed by a UNUnknownsupervised referendum.",Eritreans,"EPLF, UN",Positive
Nelson Mandela's Release from Prison,1990,South Africa,Political,Marked the beginning of the end of apartheid.,South Africans,"F.W. de Klerk, ANC",Positive
Comprehensive Peace Agreement,2005,Sudan,Peace Agreement,"Ended the Second Sudanese Civil War, led to South Sudan's independence.","Sudanese, South Sudanese","SPLM, Government of Sudan",Positive
Independence from Britain,1960,Nigeria,Independence,"Gained independence, became a republic in 1963.",Nigerians,Nigerian Independence Movement,Positive
Dahomey (Benin) Independence,1960,Benin,Independence,Transition from French colonial rule to sovereignty.,Beninese,Hubert Maga,Positive
Tunisian Revolution,2010,Tunisia,Revolution,"Triggered the Arab Spring, leading to democratization.",Tunisians,"Mohamed Bouazizi, Civil Society",Positive
Abolition of Slavery,1981,Mauritania,Legal,"First country in the world to abolish slavery by law, though enforcement issues remain.",Mauritanians,Mauritanian Government,Positive
Independence from France,1960,Gabon,Independence,End of French colonial rule.,Gabonese,Léon M'ba,Positive
Independence from Britain,1966,Lesotho,Independence,Transition from British protectorate to independent kingdom.,Basotho,Moshoeshoe II,Positive
Independence from Britain,1965,Gambia,Independence,Gained independence within the Commonwealth.,Gambians,Dawda Jawara,Positive
Independence from France,1977,Djibouti,Independence,End of French colonial rule after referendum.,Djiboutians,Hassan Gouled Aptidon,Positive
Independence and Unification,1960,Somalia,Independence/Union,Union of British Somaliland and Italian Somaliland.,Somalis,Somali Youth League,Positive
Independence from Portugal,1975,Angola,Independence,Achieved independence following the Carnation Revolution and Alvor Agreement.,Angolans,"MPLA, Agostinho Neto",Positive
Independence from France,1960,Chad,Independence,Gained independence from French colonial rule.,Chadians,François Tombalbaye,Positive
Independence from Britain,1964,Malawi,Independence,Transition from British protectorate to independent nation.,Malawians,Hastings Banda,Positive
Independence from Belgium,1962,Burundi,Independence,Gained independence alongside Rwanda from Belgian administration.,Burundians,Mwami Mwambutsa IV,Positive
Independence from France,1960,Togo,Independence,Transition from French mandate to sovereign state.,Togolese,Sylvanus Olympio,Positive
Independence from France,1960,Niger,Independence,Gained independence from French colonial administration.,Nigeriens,Hamani Diori,Positive
Independence from France,1958,Guinea,Independence,"First French African colony to gain independence, rejecting the French Community.",Guineans,Ahmed Sékou Touré,Positive
Movement for Multiparty Democracy,1991,Zambia,Political,Transition from oneUnknownparty state to multiparty democracy.,Zambians,Frederick Chiluba,Positive
Mozambique Civil War Ends,1992,Mozambique,Peace Agreement,"End of a devastating civil war, leading to peace and reconstruction.",Mozambicans,"Joaquim Chissano, RENAMO",Positive
End of Apartheid,1994,South Africa,General Elections,"First democratic elections open to all races, Nelson Mandela elected.",South Africans,"Nelson Mandela, ANC",Positive
Eritrean Independence Referendum,1993,Ethiopia,Referendum,Eritreans vote for independence from Ethiopia.,Eritreans,"EPLF, UN",Positive
Namibian Independence,1990,Namibia,Independence,Independence from South African rule.,Namibians,"Sam Nujoma, UN",Positive
Algerian Civil War Ends,2002,Algeria,Peace Agreement,End of a decadeUnknownlong civil war.,Algerians,Algerian Government,Positive
End of Sierra Leone Civil War,2002,Sierra Leone,Peace Agreement,"Marked the end of the civil war, beginning of peacebuilding efforts.",Sierra Leoneans,"Government of Sierra Leone, RUF, UN",Positive
Joseph Kony Insurgency Declines,2011,Uganda,Military,"Significant decline in LRA activities, improvement in regional security.",Ugandans,"Ugandan Military, International Efforts",Positive
Coup d'état,2012,Mali,Coup,"Military coup overthrew the government, leading to political instability and conflict.",Malians,"Malian soldiers, Amadou Sanogo",Negative
Boko Haram Insurgency Intensifies,2009,Nigeria,Insurgency,"Led to thousands of deaths and displacement, challenging national security.",Nigerians,Boko Haram,Negative
Fall of Blaise Compaoré,2014,Burkina Faso,Revolution,"Ended Blaise Compaoré's 27Unknownyear rule, sparked by mass protests.",Burkinabè,Burkinabè protestors,Positive
Appointment of Abiy Ahmed,2018,Ethiopia,Political,Led to significant political reforms and a peace agreement with Eritrea.,Ethiopians,Abiy Ahmed,Positive
Sudanese Revolution,2018,Sudan,Revolution,"Overthrow of President Omar alUnknownBashir, leading to transitional government.",Sudanese,"Sudanese protestors, military",Positive
Hirak Protest Movement,2019,Algeria,Protest Movement,Led to the resignation of President Abdelaziz Bouteflika after 20 years in power.,Algerians,Algerian protestors,Positive
Operation Carlota Ends,1989,Angola,Military Withdrawal,"Cuban military withdrawal, pivotal in ending South African apartheid.","Angolans, Cubans",Cuban Government,Positive
Nairobi's DusitD2 Complex Attack,2019,Kenya,Terrorism,Highlighted the ongoing threat of terrorism in East Africa.,Kenyans,AlUnknownShabaab,Negative
Cyclone Idai,2019,Mozambique,Natural Disaster,"One of the worst tropical cyclones on record in Africa, causing widespread destruction.","Mozambicans, Zimbabweans, Malawians",Climate,Negative
Tigray Conflict Begins,2020,Ethiopia,Conflict,"Conflict between Ethiopian government forces and TPLF, leading to humanitarian crisis.",Ethiopians,"Ethiopian Government, TPLF",Negative
Juba Peace Agreement,2020,Sudan,Peace Agreement,"Aimed at ending conflicts in Darfur, South Kordofan, and Blue Nile states.",Sudanese,"Sudanese Transitional Government, Rebel Groups",Positive
Death of President Idriss Déby,2021,Chad,Military,"Died from injuries sustained in clashes with rebels, leading to political uncertainty.",Chadians,"Idriss Déby, FACT Rebels",Negative
Abolition of Slavery,1888,Brazil,Legal,End of slavery in Brazil,Slaves in Brazil,Princess Isabel,Positive
Proclamation of the Republic,1889,Brazil,Political,End of the Brazilian Empire and the start of the Republic,Brazilian population,Marshal Deodoro da Fonseca,Positive
Military Coup,1964,Brazil,Military Coup,Beginning of military dictatorship lasting until 1985,Brazilian population,Military leaders,Negative
Direct Elections Now Campaign,1984,Brazil,Political Movement,Nationwide protests for direct presidential elections,Brazilian population,Civil society groups,Positive
Real Plan Implementation,1994,Brazil,Economic,Stabilization of Brazilian economy and introduction of the Real (R$),Brazilian economy,Itamar Franco,Positive
Lula da Silva's Presidency,2003,Brazil,Political,First workingUnknownclass president,Brazilian population,Luiz Inácio Lula da Silva,Positive
FIFA World Cup Victory,2002,Brazil,Sports,Brazil wins its first FIFA World Cup boosting national pride,Brazilian population,Football team,Positive
Tropicália Movement,1967,Brazil,Cultural,AvantUnknowngarde music and arts movement challenging traditional Brazilian culture,Artists and intellectuals,Caetano Veloso,Positive
Plano Real Economic Stabilization,1994,Brazil,Economic,Introduction of the Real (R$) to stabilize the Brazilian economy,Brazilian economy,Itamar Franco,Positive
Rio Earth Summit,1992,Brazil,Environmental,International conference on environment and sustainability,Global population,UN,Positive
FHC Presidency (Fernando Henrique Cardoso),1995,Brazil,Political,Implementation of economic reforms and Plano Real,Brazilian population,Fernando Henrique Cardoso,Positive
Mensalão Scandal,2005,Brazil,Political Scandal,Major corruption scandal involving bribery and misuse of public funds,Brazilian population,Various politicians,Negative
Zika Virus Outbreak,2015,Brazil,Health,Major health crisis linked to birth defects sparking international concern,Brazilian population,Unknown,Negative
Amazon Rainforest Wildfires,2019,Brazil,Environmental,International attention on Brazil's environmental policies and conservation efforts,Global and local environment,Various stakeholders,Negative
Nazi Party's Rise to Power,1933,Germany,Political,Adolf Hitler becomes Chancellor leading to totalitarian regime and WWII,German population,Adolf Hitler,Negative
Kristallnacht (Night of Broken Glass),1938,Germany,Pogrom,Nationwide attack on Jewish people and properties,Jewish Germans,Nazi regime,Negative
Beginning of World War II,1939,Germany,Military,Invasion of Poland by Germany leading to global conflict,Global population,Adolf Hitler,Negative
The Holocaust,1941,Germany,Genocide,Systematic murder of six million Jews and millions of others,Jews, Nazi regime,Negative
Battle of Stalingrad,1942,Germany,Military,Turning point in WWII first major defeat of Nazi Germany,German population, Soviet Union,Negative
DUnknownDay (Normandy Landings),1944,Germany,Military,Allied invasion of NaziUnknownoccupied Europe beginning of the end of WWII in Europe,European civilians,Unknown,Positive
Surrender of Nazi Germany,1945,Germany,Military,End of World War II in Europe,Global population,Allied Powers,Positive
Marshall Plan Aid,1948,Germany,Economic,US financial aid for European recovery postUnknownWWII significantly aiding West Germany's recovery,German population,United States,Positive
Construction of the Berlin Wall,1961,Germany,Political,Physical division of East and West Berlin preventing East Germans from fleeing to the West,Berliners,East German government,Negative
The Berlin Wall Falls,1989,Germany,Political,Symbolic end of the Cold War leading to German reunification,East and West Germans,East German government,Positive
German Reunification,1990,Germany,Political,Reunification of East and West Germany into a single German state,Helmut Kohl,Mikhail Gorbachev,Positive
Treaty on the Final Settlement with Respect to Germany,1990,Germany,Political,Ended the Four Power rights and responsibilities for Germany and Berlin paving the way for German reunification,Germans,Two Plus Four Agreement negotiators,Positive
Establishment of the European,1992,Germany,Political,The Maastricht Treaty laid the foundation for further European integration,Europeans,European Community members,Positive
Adoption of the Euro,2002,Germany,Economic,Introduction of the Euro as the official currency replacing the Deutsche Mark,Germans,European Central Bank,Positive
2006 FIFA World Cup,2006,Germany,Sports,Hosted the FIFA World Cup showcasing Germany on the global stage,International audience,FIFA,Positive
The Dirty War,1976,Argentina,Political Repression,Period of state terrorism against suspected dissidents and subversives,Argentinians,Military Junta,Negative
Falklands War,1982,Argentina,Military,Conflict with the UK over the Falkland Islands leading to Argentine defeat,Argentinians,British,Negative
Return to Democracy,1983,Argentina,Political,End of military rule and restoration of democracy,Argentinians,Raúl Alfonsín,Positive
2001 Economic Crisis,2001,Argentina,Economic,Severe economic crisis leading to social unrest and governmental changes,Argentinians,Fernando de la Rúa,Negative
SameUnknownSex Marriage Law,2010,Argentina,Legal,First country in Latin America to legalize sameUnknownsex marriage,Argentinians,Argentine Legislature,Positive
1978 FIFA World Cup Victory,1978,Argentina,Sports,Argentina wins its first FIFA World Cup boosting national pride,Argentinians,Argentine National Football Team,Positive
Economic Crisis and IMF Loan,2018,Argentina,Economic,Severe economic crisis leading to the largest IMF loan in history,Argentinians,"Mauricio Macri, IMF",Negative
Jorge Mario Bergoglio becomes Pope Francis,2013,Argentina,Religious,First Pope from the Americas global impact on Catholic Church,Catholics worldwide,Jorge Mario Bergoglio,Positive
Cacerolazo Protests,2001,Argentina,Social Movement,Mass protests against the government's handling of the economic crisis,Argentinians,Unknown,Positive
Legalization of Abortion,2020,Argentina,Legal,Legalization of abortion up to the 14th week of pregnancy,Argentinians,Argentine Legislature,Positive
Mexican Revolution,1910,Mexico,Revolution,Major revolution that transformed Mexican politics and society,Mexicans,Francisco I. Madero,Positive
